date,ticker,price,volume
2025-01-02,AAPL,190.46,46609163
2025-01-03,AAPL,188.9,70323509
2025-01-06,AAPL,190.02,68020918
2025-01-07,AAPL,191.43,54181038
2025-01-08,AAPL,188.51,42716800
2025-01-09,AAPL,186.55,78827920
2025-01-10,AAPL,186.75,57827499
2025-01-13,AAPL,186.27,75724844
2025-01-14,AAPL,186.25,67116760
2025-01-15,AAPL,184.97,71135339
2025-01-16,AAPL,186.29,70395977
2025-01-17,AAPL,187.45,47785548
2025-01-20,AAPL,187.55,54556241
2025-01-21,AAPL,189.24,58668840
2025-01-22,AAPL,189.94,59911661
2025-01-23,AAPL,188.65,41752150
2025-01-24,AAPL,189.21,61862780
2025-01-27,AAPL,187.77,46171579
2025-01-28,AAPL,189.09,69735036
2025-01-29,AAPL,189.01,67321958
