feature,standardized_coefficient,absolute_coefficient
intraday_range_pct,0.0034426314532236503,0.0034426314532236503
rolling_vol_21d,0.001946387903674317,0.001946387903674317
return_lag_1d,-0.0013786739026248075,0.0013786739026248075
rolling_abs_return_5d,0.001227998807124837,0.001227998807124837
return_1d,-0.0010272706793227576,0.0010272706793227576
rolling_vol_5d,0.0007099198331651624,0.0007099198331651624
weekday_mon,-0.0006814663901905618,0.0006814663901905618
absolute_return_1d,-0.0006168524299355693,0.0006168524299355693
weekday_tue,-0.0005308807331386272,0.0005308807331386272
weekday_thu,-0.0003962348448918318,0.0003962348448918318
volume_change_1d,0.0003249304497294485,0.0003249304497294485
relative_volume_20d,7.298064077481329e-05,7.298064077481329e-05
weekday_wed,3.6887344126929556e-05,3.6887344126929556e-05
